Year,State,Longitude,Latitude,MaxTemp,MinTemp,Rainfall,Solar,MeanMaxTemp,SDMaxTemp,Evaporation,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
2014,Australian Capital Territory,35.4735,149.0124,40,-6.1,592.7,16.6,38.73,2.67,12.6,NNW,61,NW,NW,24,33,27,15,1010.4,1006.9,1,5,29.1,36.8
2015,Australian Capital Territory,35.4735,149.0124,36.6,-6.5,657.1,16.5,38.73,2.67,7.2,NNW,43,SSW,WNW,4,13,55,14,1017.4,1012.1,1,1,18.9,31.4
2016,Australian Capital Territory,35.4735,149.0124,38.7,-5.1,743.7,16.5,38.73,2.67,10.4,NNE,106,NW,SSW,4,22,42,40,1013.9,1009.6,1,7,25.1,28.3
2017,Australian Capital Territory,35.4735,149.0124,41.1,-7,453.7,16.6,38.73,2.67,5.2,ENE,48,SSW,ENE,6,20,68,30,1019,1017,0,1,20.2,30.5
2018,Australian Capital Territory,35.4735,149.0124,39.4,-7.9,432.8,16.9,38.73,2.67,9.6,NW,28,S,NNW,6,9,79,44,1020.9,1017.2,8,1,19.1,28.8
2019,Australian Capital Territory,35.4735,149.0124,40.8,-5.9,351.8,17.6,38.73,2.67,10.4,ESE,39,SSE,NNE,4,7,47,20,1017.5,1013.5,0,1,24.8,36.1
2020,Australian Capital Territory,35.4735,149.0124,43.3,-4.7,793.8,16.4,38.73,2.67,10.6,E,43,SE,ENE,9,20,38,23,1016.1,1014.7,1,1,25.8,31.2
2021,Australian Capital Territory,35.4735,149.0124,37,-5.6,764.8,15.8,38.73,2.67,10.6,SSE,48,ENE,NNW,6,17,70,29,1015.4,1009.7,6,5,21.8,32.9
2022,Australian Capital Territory,35.4735,149.0124,33.5,-6.6,1014.8,15.6,38.73,2.67,7,ESE,46,NNW,WNW,2,20,71,24,1008.8,1005.4,1,3,23.2,36.2
2023,Australian Capital Territory,35.4735,149.0124,36.9,-6.2,642.6,16.6,38.73,2.67,12.4,WNW,43,SE,WNW,6,24,43,16,1011,1006.8,4,1,26.4,38.5
2014,New South Wales,31.2532,146.9211,38,4.9,864.9,15.6,41.51,2.5,3.4,S,41,W,S,20,22,64,66,1031.1,1028.8,4,7,13.4,16.4
2015,New South Wales,31.2532,146.9211,42.8,5,1428.1,15.7,41.51,2.5,2.8,W,28,W,WSW,20,7,78,41,1025,1021.5,3,5,11.5,19.2
2016,New South Wales,31.2532,146.9211,40.6,5.4,1495.3,16.5,41.51,2.5,2.2,WSW,59,W,S,19,15,58,43,1019.7,1017.7,2,2,11.2,14.7
2017,New South Wales,31.2532,146.9211,42.9,4.9,1186.6,16.2,41.51,2.5,0.8,SSE,26,WNW,SSE,15,15,92,59,1025,1024,2,3,11.6,19.1
2018,New South Wales,31.2532,146.9211,43.7,4.2,1046.3,16.4,41.51,2.5,2.2,SSE,37,W,SSE,20,22,82,62,1030,1029.1,2,3,11.2,18.2
2019,New South Wales,31.2532,146.9211,42.4,5.9,915.8,16.9,41.51,2.5,1.2,W,22,W,ENE,13,15,89,69,1027.9,1024.4,2,6,11.9,18.7
